波长	5:30	6:30	7:30	8:30	9:30	10:30	11:30	12:30	13:30	14:30	15:30	16:30	17:30	18:30	19:30
445	1.152238	1.131039667	1.109841333	1.088643	1.192381	1.296119	1.399857	1.503595	1.40181725	1.3000395	1.19826175	1.096484	0.753411	0.410338	0.067265
446	1.171269	1.149231667	1.127194333	1.105157	1.209366	1.313575	1.417784	1.521993	1.4199395	1.317886	1.2158325	1.113779	0.765472	0.417165	0.068858
447	1.186817	1.163867667	1.140918333	1.117969	1.22218275	1.3263965	1.43061025	1.534824	1.4329925	1.331161	1.2293295	1.127498	0.77507	0.422642	0.070214
448	1.196292	1.173042333	1.149792667	1.126543	1.23040775	1.3342725	1.43813725	1.542002	1.44038025	1.3387585	1.23713675	1.135515	0.780801333	0.426087667	0.071374
449	1.202268	1.179676333	1.157084667	1.134493	1.237966	1.341439	1.444912	1.548385	1.446358	1.344331	1.242304	1.140277	0.784402333	0.428527667	0.072653
450	1.208557	1.186604	1.164651	1.142698	1.245822	1.348946	1.45207	1.555194	1.4527335	1.350273	1.2478125	1.145352	0.788213	0.431074	0.073935
451	1.218971	1.197163667	1.175356333	1.153549	1.2567915	1.360034	1.4632765	1.566519	1.4643505	1.362182	1.2600135	1.157845	0.797015667	0.436186333	0.075357
452	1.228946	1.207196667	1.185447333	1.163698	1.267061	1.370424	1.473787	1.57715	1.475516	1.373882	1.272248	1.170614	0.805980333	0.441346667	0.076713
453	1.2377	1.215987667	1.194275333	1.172563	1.2759645	1.379366	1.4827675	1.586169	1.4847455	1.383322	1.2818985	1.180475	0.812956	0.445437	0.077918
454	1.24582	1.224064667	1.202309333	1.180554	1.283964	1.387374	1.490784	1.594194	1.4921115	1.390029	1.2879465	1.185864	0.816887333	0.447910667	0.078934
455	1.2542	1.232396	1.210592	1.188788	1.29223825	1.3956885	1.49913875	1.602589	1.49982625	1.3970635	1.29430075	1.191538	0.821011333	0.450484667	0.079958
456	1.257974	1.235943667	1.213913333	1.191883	1.295338	1.398793	1.502248	1.605703	1.5029055	1.400108	1.2973105	1.194513	0.823313	0.452113	0.080913
457	1.258284	1.236023	1.213762	1.191501	1.294772	1.398043	1.501314	1.604585	1.5021	1.399615	1.29713	1.194645	0.823659667	0.452674333	0.081689
458	1.259088	1.236724667	1.214361333	1.191998	1.29488875	1.3977795	1.50067025	1.603561	1.50155275	1.3995445	1.29753625	1.195528	0.824497	0.453466	0.082435
459	1.266661	1.244412333	1.222163667	1.199915	1.30236525	1.4048155	1.50726575	1.609716	1.50817325	1.4066305	1.30508775	1.203545	0.830197333	0.456849667	0.083502
460	1.274466	1.252324333	1.230182667	1.208041	1.31008325	1.4121255	1.51416775	1.61621	1.51510025	1.4139905	1.31288075	1.211771	0.836039667	0.460308333	0.084577
461	1.27644	1.254753333	1.233066667	1.21138	1.313196	1.415012	1.516828	1.618644	1.517842	1.41704	1.316238	1.215436	0.838756	0.462076	0.085396
462	1.278086	1.256929	1.235772	1.214615	1.31636575	1.4181165	1.51986725	1.621618	1.52097975	1.4203415	1.31970325	1.219065	0.841453	0.463841	0.086229
463	1.279994	1.259101	1.238208	1.217315	1.318639	1.419963	1.521287	1.622611	1.522548	1.422485	1.322422	1.222359	0.843939333	0.465519667	0.0871
464	1.280315	1.259033333	1.237751667	1.21647	1.316243	1.416016	1.515789	1.615562	1.517327	1.419092	1.320857	1.222622	0.844388667	0.466155333	0.087922
465	1.280874	1.259203333	1.237532667	1.215862	1.3141155	1.412369	1.5106225	1.608876	1.51243575	1.4159955	1.31955525	1.223115	0.844994333	0.466873667	0.088753
466	1.282693	1.261138333	1.239583667	1.218029	1.315933	1.413837	1.511741	1.609645	1.5132855	1.416926	1.3205665	1.224207	0.845972333	0.467737667	0.089503
467	1.283694	1.262412333	1.241130667	1.219849	1.31764075	1.4154325	1.51322425	1.611016	1.5143525	1.417689	1.3210255	1.224362	0.846289	0.468216	0.090143
468	1.283979	1.262995333	1.242011667	1.221028	1.318223	1.415418	1.512613	1.609808	1.513184	1.41656	1.319936	1.223312	0.845794	0.468276	0.090758
469	1.285693	1.265022667	1.244352333	1.223682	1.3193535	1.415025	1.5106965	1.606368	1.5103645	1.414361	1.3183575	1.222354	0.84542	0.468486	0.091552
470	1.287591	1.267229	1.246867	1.226505	1.32067675	1.4148485	1.50902025	1.603192	1.50779075	1.4123895	1.31698825	1.221587	0.845176333	0.468765667	0.092355
471	1.289105	1.268151667	1.247198333	1.226245	1.3210745	1.415904	1.5107335	1.605563	1.5100305	1.414498	1.3189655	1.223433	0.846642333	0.469851667	0.093061
472	1.292586	1.270793667	1.249001333	1.227209	1.32335725	1.4195055	1.51565375	1.611802	1.51581325	1.4198245	1.32383575	1.227847	0.849862667	0.471878333	0.093894
473	1.298294	1.276213333	1.254132667	1.232052	1.32922575	1.4263995	1.52357325	1.620747	1.52417225	1.4275975	1.33102275	1.234448	0.854576667	0.474705333	0.094834
474	1.303934	1.282759667	1.261585333	1.240411	1.33766775	1.4349245	1.53218125	1.629438	1.532358	1.435278	1.338198	1.241118	0.859295667	0.477473333	0.095651
475	1.309709	1.289434333	1.269159667	1.248885	1.346236	1.443587	1.540938	1.638289	1.540694	1.443099	1.345504	1.247909	0.864098	0.480287	0.096476
476	1.315433	1.294815667	1.274198333	1.253581	1.3509005	1.44822	1.5455395	1.642859	1.5457825	1.448706	1.3516295	1.254553	0.868762	0.482971	0.09718
477	1.324451	1.303228333	1.282005667	1.260783	1.358289	1.455795	1.553301	1.650807	1.5541885	1.45757	1.3609515	1.264333	0.875592333	0.486851667	0.098111
478	1.332311	1.310823667	1.289336333	1.267849	1.36530175	1.4627545	1.56020725	1.65766	1.5612805	1.464901	1.3685215	1.272142	0.881169	0.490196	0.099223
479	1.333901	1.312764	1.291627	1.27049	1.36719325	1.4638965	1.56059975	1.657303	1.56112325	1.4649435	1.36876375	1.272584	0.881818	0.491052	0.100286
480	1.33554	1.314753333	1.293966667	1.27318	1.369135	1.46509	1.561045	1.657	1.561017	1.465034	1.369051	1.273068	0.882497	0.491926	0.101355
481	1.330773	1.309962667	1.289152333	1.268342	1.362209	1.456076	1.549943	1.64381	1.54945325	1.4550965	1.36073975	1.266383	0.878308333	0.490233667	0.102159
482	1.327404	1.306508667	1.285613333	1.264718	1.3565025	1.448287	1.5400715	1.631856	1.539121	1.446386	1.353651	1.260916	0.874978333	0.489040667	0.103103
483	1.321477	1.300703667	1.279930333	1.259157	1.34962275	1.4400885	1.53055425	1.62102	1.52943875	1.4378575	1.34627625	1.254695	0.871026	0.487357	0.103688
484	1.313102	1.292682667	1.272263333	1.251844	1.34191425	1.4319845	1.52205475	1.612125	1.52111725	1.4301095	1.33910175	1.248094	0.866694667	0.485295333	0.103896
485	1.304518	1.284458	1.264398	1.244338	1.33398175	1.4236255	1.51326925	1.602913	1.51250675	1.4221005	1.33169425	1.241288	0.862226667	0.483165333	0.104104
486	1.299325	1.279491667	1.259658333	1.239825	1.32804025	1.4162555	1.50447075	1.592686	1.5034875	1.414289	1.3250905	1.235892	0.858881667	0.481871333	0.104861
487	1.293588	1.273991333	1.254394667	1.234798	1.32153325	1.4082685	1.49500375	1.581739	1.493797	1.405855	1.317913	1.229971	0.855177	0.480383	0.105589
488	1.289082	1.269688333	1.250294667	1.230901	1.31671675	1.4025325	1.48834825	1.574164	1.487013	1.399862	1.312711	1.22556	0.852521	0.479482	0.106443
489	1.284382	1.265182333	1.245982667	1.226783	1.3120355	1.397288	1.4825405	1.567793	1.48115125	1.3945095	1.30786775	1.221226	0.849917	0.478608	0.107299
490	1.280741	1.261674333	1.242607667	1.223541	1.30841425	1.3932875	1.47816075	1.563034	1.4768015	1.390569	1.3043365	1.218104	0.848141333	0.478178667	0.108216
491	1.28962	1.270176	1.250732	1.231288	1.31741875	1.4035495	1.48968025	1.575811	1.48893775	1.4020645	1.31519125	1.228318	0.855525333	0.482732667	0.10994
492	1.299104	1.279269667	1.259435333	1.239601	1.3270405	1.41448	1.5019195	1.589359	1.5018035	1.414248	1.3266925	1.239137	0.863335	0.487533	0.111731
493	1.308423	1.288614333	1.268805667	1.248997	1.337172	1.425347	1.513522	1.601697	1.51342975	1.4251625	1.33689525	1.248628	0.870199333	0.491770667	0.113342
494	1.318119	1.298523667	1.278928333	1.259333	1.34800975	1.4366865	1.52536325	1.61404	1.52501575	1.4359915	1.34696725	1.257943	0.876934333	0.495925667	0.114917
495	1.32624	1.306793333	1.287346667	1.2679	1.3566565	1.445413	1.5341695	1.622926	1.533534	1.444142	1.35475	1.265358	0.882362	0.499366	0.11637
496	1.326029	1.306586667	1.287144333	1.267702	1.3550635	1.442425	1.5297865	1.617148	1.528777	1.440406	1.352035	1.263664	0.88148	0.499296	0.117112
497	1.325711	1.306274333	1.286837667	1.267401	1.35334375	1.4392865	1.52522925	1.611172	1.52384125	1.4365105	1.34917975	1.261849	0.880517333	0.499185667	0.117854
498	1.325126	1.305579667	1.286033333	1.266487	1.35197775	1.4374685	1.52295925	1.60845	1.52105675	1.4336635	1.34627025	1.258877	0.87868	0.498483	0.118286
499	1.323106	1.303446333	1.283786667	1.264127	1.34927325	1.4344195	1.51956575	1.604712	1.5171205	1.429529	1.3419375	1.254346	0.875742	0.497138	0.118534
500	1.319443	1.300060333	1.280677667	1.261295	1.34560825	1.4299215	1.51423475	1.598548	1.51167825	1.4248085	1.33793875	1.251069	0.873582667	0.496096333	0.11861
501	1.316679	1.298093	1.279507	1.260921	1.34389925	1.4268775	1.50985575	1.592834	1.50780825	1.4227825	1.33775675	1.252731	0.874732667	0.496734333	0.118736
502	1.313756	1.295978667	1.278201333	1.260424	1.342042	1.42366	1.505278	1.586896	1.5037465	1.420597	1.3374475	1.254298	0.875815667	0.497333333	0.118851
503	1.312277	1.294289	1.276301	1.258313	1.34074375	1.4231745	1.50560525	1.588036	1.50407525	1.4201145	1.33615375	1.252193	0.874533667	0.496874333	0.119215
504	1.309931	1.291737	1.273543	1.255349	1.3385565	1.421764	1.5049715	1.588179	1.50344175	1.4187045	1.33396725	1.24923	0.872654667	0.496079333	0.119504
505	1.311547	1.29332	1.275093	1.256866	1.3399515	1.423037	1.5061225	1.589208	1.50469	1.420172	1.335654	1.251136	0.874084333	0.497032667	0.119981
506	1.313853	1.295746	1.277639	1.259532	1.3417185	1.423905	1.5060915	1.588278	1.50482775	1.4213775	1.33792725	1.254477	0.876449333	0.498421667	0.120394
507	1.315544	1.297434	1.279324	1.261214	1.342778	1.424342	1.505906	1.58747	1.504763	1.422056	1.339349	1.256642	0.878057667	0.499473333	0.120889
508	1.319831	1.301081333	1.282331667	1.263582	1.34612125	1.4286605	1.51119975	1.593739	1.509954	1.426169	1.342384	1.258599	0.879817667	0.501036333	0.122255
509	1.324452	1.305053333	1.285654667	1.266256	1.34979725	1.4333385	1.51687975	1.600421	1.51552975	1.4306385	1.34574725	1.260856	0.881790667	0.502725333	0.12366
510	1.325646	1.306436667	1.287227333	1.268018	1.35055575	1.4330935	1.51563125	1.598169	1.513893	1.429617	1.345341	1.261065	0.882438	0.503811	0.125184
511	1.322789	1.304049	1.285309	1.266569	1.34735225	1.4281355	1.50891875	1.589702	1.50671775	1.4237335	1.34074925	1.257765	0.880657333	0.503549667	0.126442
512	1.3154	1.297059	1.278718	1.260377	1.339267	1.418157	1.497047	1.575937	1.494562	1.413187	1.331812	1.250437	0.875987667	0.501538333	0.127089
513	1.305242	1.287130333	1.269018667	1.250907	1.3279335	1.40496	1.4819865	1.559013	1.47948825	1.3999635	1.32043875	1.240914	0.869679333	0.498444667	0.12721
514	1.295014	1.277133	1.259252	1.241371	1.3165235	1.391676	1.4668285	1.541981	1.464317	1.386653	1.308989	1.231325	0.863326667	0.495328333	0.12733
515	1.283755	1.266744667	1.249734333	1.232724	1.307974	1.383224	1.458474	1.533724	1.456016	1.378308	1.3006	1.222892	0.857791333	0.492690667	0.12759
516	1.272286	1.256154	1.240022	1.22389	1.299232	1.374574	1.449916	1.525258	1.44751175	1.3697655	1.29201925	1.214273	0.852127	0.489981	0.127835
517	1.267555	1.251866333	1.236177667	1.220489	1.29563975	1.3707905	1.44594125	1.521092	1.4433905	1.365689	1.2879875	1.210286	0.849641	0.488996	0.128351
518	1.266878	1.251361333	1.235844667	1.220328	1.2950975	1.369867	1.4446365	1.519406	1.44181325	1.3642205	1.28662775	1.209035	0.84903	0.489025	0.12902
519	1.268143	1.252733667	1.237324333	1.221915	1.29642425	1.3709335	1.44544275	1.519952	1.442484	1.365016	1.287548	1.21008	0.850004333	0.489928667	0.129853
520	1.268949	1.253517333	1.238085667	1.222654	1.2969035	1.371153	1.4454025	1.519652	1.4427665	1.365881	1.2889955	1.21211	0.851581	0.491052	0.130523
521	1.269865	1.25441	1.238955	1.2235	1.297498	1.371496	1.445494	1.519492	1.4431785	1.366865	1.2905515	1.214238	0.853225333	0.492212667	0.1312
522	1.276127	1.260201667	1.244276333	1.228351	1.3030335	1.377716	1.4523985	1.527081	1.450025	1.372969	1.295913	1.218857	0.856662333	0.494467667	0.132273
523	1.2836	1.267132667	1.250665333	1.234198	1.30973125	1.3852645	1.46079775	1.536331	1.4583075	1.380284	1.3022605	1.224237	0.86064	0.497043	0.133446
524	1.29097	1.274359	1.257748	1.241137	1.31738475	1.3936325	1.46988025	1.546128	1.46747725	1.3888265	1.31017575	1.231525	0.865874667	0.500224333	0.134574
525	1.296145	1.279815333	1.263485667	1.247156	1.3238575	1.400559	1.4772605	1.553962	1.475152	1.396342	1.317532	1.238722	0.870961333	0.503200667	0.13544
526	1.300774	1.284660333	1.268546667	1.252433	1.3294145	1.406396	1.4833775	1.560359	1.481494	1.402629	1.323764	1.244899	0.875328667	0.505758333	0.136188
527	1.308475	1.292107	1.275739	1.259371	1.33593275	1.4124945	1.48905625	1.565618	1.4869725	1.408327	1.3296815	1.251036	0.879656333	0.508276667	0.136897
528	1.316981	1.300348333	1.283715667	1.267083	1.3432715	1.41946	1.4956485	1.571837	1.49336275	1.4148885	1.33641425	1.25794	0.884523333	0.511106667	0.13769
529	1.319772	1.303014333	1.286256667	1.269499	1.34571675	1.4219345	1.49815225	1.57437	1.49582725	1.4172845	1.33874175	1.260199	0.88622	0.512241	0.138262
530	1.31965	1.302823333	1.285996667	1.26917	1.34545325	1.4217365	1.49801975	1.574303	1.49570275	1.4171025	1.33850225	1.259902	0.886145333	0.512388667	0.138632
531	1.322227	1.305716333	1.289205667	1.272695	1.34911475	1.4255345	1.50195425	1.578374	1.499434	1.420494	1.341554	1.262614	0.888188667	0.513763333	0.139338
532	1.32784	1.312155333	1.296470667	1.280786	1.357406	1.434026	1.510646	1.587266	1.50764675	1.4280275	1.34840825	1.268789	0.892669333	0.516549667	0.14043
533	1.333369	1.318374667	1.303380333	1.288386	1.36513525	1.4418845	1.51863375	1.595383	1.51516225	1.4349415	1.35472075	1.2745	0.89684	0.51918	0.14152
534	1.337717	1.322048667	1.306380333	1.290712	1.3668225	1.442933	1.5190435	1.595154	1.5151435	1.435133	1.3551225	1.275112	0.897605	0.520098	0.142591
535	1.342184	1.325844	1.309504	1.293164	1.3686475	1.444131	1.5196145	1.595098	1.515288	1.435478	1.355668	1.275858	0.898462	0.521066	0.14367
536	1.338415	1.321773	1.305131	1.288489	1.36365	1.438811	1.513972	1.589133	1.510252	1.431371	1.35249	1.273609	0.897095667	0.520582333	0.144069
537	1.334068	1.317219333	1.300370667	1.283522	1.358586	1.43365	1.508714	1.583778	1.505945	1.428112	1.350279	1.272446	0.896456667	0.520467333	0.144478
538	1.329579	1.313015333	1.296451667	1.279888	1.35484475	1.4298015	1.50475825	1.579715	1.50216875	1.4246225	1.34707625	1.26953	0.894681333	0.519832667	0.144984
539	1.325055	1.309473667	1.293892333	1.278311	1.353155	1.427999	1.502843	1.577687	1.499335	1.420983	1.342631	1.264279	0.891401	0.518523	0.145645
540	1.320774	1.306065	1.291356	1.276647	1.3513355	1.426024	1.5007125	1.575401	1.49637025	1.4173395	1.33830875	1.259278	0.888265	0.517252	0.146239
541	1.322654	1.307578	1.292502	1.277426	1.3517015	1.425977	1.5002525	1.574528	1.49599675	1.4174655	1.33893425	1.260403	0.889090333	0.517777667	0.146465
542	1.324984	1.309531667	1.294079333	1.278627	1.35250925	1.4263915	1.50027375	1.574156	1.496104	1.418052	1.34	1.261948	0.890212667	0.518477333	0.146742
543	1.323825	1.308291333	1.292757667	1.277224	1.3515115	1.425799	1.5000865	1.574374	1.4969645	1.419555	1.3421455	1.264736	0.892182	0.519628	0.147074
544	1.32112	1.305601333	1.290082667	1.274564	1.3494825	1.424401	1.4993195	1.574238	1.49755175	1.4208655	1.34417925	1.267493	0.894120333	0.520747667	0.147375
545	1.323607	1.307829	1.292051	1.276273	1.35182575	1.4273785	1.50293125	1.578484	1.50162675	1.4247695	1.34791225	1.271055	0.896807	0.522559	0.148311
