波长	光强
746	1.213361805
747	1.168943379
748	1.142587454
749	1.116214413
750	1.08327774
751	1.046999995
752	1.020016414
753	0.996289192
754	0.965150341
755	0.941575862
756	0.913523944
757	0.888405782
758	0.860336748
759	0.838220806
760	0.81927651
761	0.796108913
762	0.77080421
763	0.747365358
764	0.72784432
765	0.711749068
766	0.689870582
767	0.671282254
768	0.645129554
769	0.63683613
770	0.611277287
771	0.59703077
772	0.582818053
773	0.561312651
774	0.543589435
775	0.529682204
776	0.513383294
777	0.500714259
778	0.487417569
779	0.474595791
780	0.463096922
